review_id,text,label,category
R0001,Works as expected. A ordinary purchase overall with no major complaints.,1,Neutral
R0002,The excellent quality really impressed me. Would buy again without hesitation.,2,Positive
R0003,outstanding product with exceptional support team. Could not ask for more.,2,Positive
R0004,Five stars all the way. This is truly excellent and worth every penny.,2,Positive
R0005,This is honestly horrible. Biggest waste of money I have ever spent.,0,Negative
R0006,It is a adequate product. Nothing special but nothing too bad either.,1,Neutral
R0007,Do not buy. The whole experience was terrible and I was disappointed.,0,Negative
R0008,Average in most ways. A mediocre option if you have no other choice.,1,Neutral
R0009,Absolutely outstanding experience from start to finish. Exceeded every expectation.,2,Positive
R0010,The terrific quality really impressed me. Would buy again without hesitation.,2,Positive
R0011,I am genuinely thrilled with this purchase. The quality is terrific.,2,Positive
R0012,This is honestly dreadful. Biggest waste of money I have ever spent.,0,Negative
R0013,wonderful product with exceptional support team. Could not ask for more.,2,Positive
R0014,The product is ordinary. Would not rush to recommend but it is fine.,1,Neutral
R0015,Expected so much more. The quality is atrocious and service is even worse.,0,Negative
R0016,The wonderful quality really impressed me. Would buy again without hesitation.,2,Positive
R0017,Cannot recommend this enough. Simply terrific in every single aspect.,2,Positive
R0018,This is honestly disgusting. Biggest waste of money I have ever spent.,0,Negative
R0019,Five stars all the way. This is truly outstanding and worth every penny.,2,Positive
R0020,Completely atrocious from the packaging to the product itself. Avoid.,0,Negative
R0021,Works as expected. A standard purchase overall with no major complaints.,1,Neutral
R0022,The product is reasonable. Would not rush to recommend but it is fine.,1,Neutral
R0023,An passable item that does exactly what the description says.,1,Neutral
R0024,Regret every penny spent. The product is awful and does not work.,0,Negative
R0025,Do not buy. The whole experience was terrible and I was disappointed.,0,Negative
R0026,Works as expected. A standard purchase overall with no major complaints.,1,Neutral
R0027,An reasonable item that does exactly what the description says.,1,Neutral
R0028,The outstanding quality really impressed me. Would buy again without hesitation.,2,Positive
R0029,Absolutely perfect experience from start to finish. Exceeded every expectation.,2,Positive
R0030,Works as expected. A ordinary purchase overall with no major complaints.,1,Neutral
R0031,Nothing remarkable here. Fairly mediocre experience all around.,1,Neutral
R0032,Do not buy. The whole experience was worthless and I was disappointed.,0,Negative
R0033,Nothing remarkable here. Fairly passable experience all around.,1,Neutral
R0034,Works as expected. A typical purchase overall with no major complaints.,1,Neutral
R0035,The great quality really impressed me. Would buy again without hesitation.,2,Positive
R0036,Returned immediately. Everything about this is just appalling.,0,Negative
R0037,The outstanding quality really impressed me. Would buy again without hesitation.,2,Positive
R0038,Cannot recommend this enough. Simply fantastic in every single aspect.,2,Positive
R0039,great product with exceptional support team. Could not ask for more.,2,Positive
R0040,Cannot recommend this enough. Simply perfect in every single aspect.,2,Positive
R0041,Works as expected. A mediocre purchase overall with no major complaints.,1,Neutral
R0042,The product is ordinary. Would not rush to recommend but it is fine.,1,Neutral
R0043,This is honestly useless. Biggest waste of money I have ever spent.,0,Negative
R0044,Completely appalling from the packaging to the product itself. Avoid.,0,Negative
R0045,I am genuinely thrilled with this purchase. The quality is brilliant.,2,Positive
R0046,It is a reasonable product. Nothing special but nothing too bad either.,1,Neutral
R0047,Returned immediately. Everything about this is just useless.,0,Negative
R0048,Absolutely fantastic experience from start to finish. Exceeded every expectation.,2,Positive
R0049,An standard item that does exactly what the description says.,1,Neutral
R0050,perfect product with exceptional support team. Could not ask for more.,2,Positive
R0051,Absolutely perfect experience from start to finish. Exceeded every expectation.,2,Positive
R0052,Completely terrible from the packaging to the product itself. Avoid.,0,Negative
R0053,Regret every penny spent. The product is dreadful and does not work.,0,Negative
R0054,Returned immediately. Everything about this is just horrible.,0,Negative
R0055,wonderful product with exceptional support team. Could not ask for more.,2,Positive
R0056,Delivered on time. Quality seems mediocre for the price range.,1,Neutral
R0057,An standard item that does exactly what the description says.,1,Neutral
R0058,terrific product with exceptional support team. Could not ask for more.,2,Positive
R0059,Do not buy. The whole experience was worthless and I was disappointed.,0,Negative
R0060,I am genuinely thrilled with this purchase. The quality is excellent.,2,Positive
R0061,I am genuinely thrilled with this purchase. The quality is amazing.,2,Positive
R0062,Works as expected. A adequate purchase overall with no major complaints.,1,Neutral
R0063,Regret every penny spent. The product is useless and does not work.,0,Negative
R0064,Delivered on time. Quality seems mediocre for the price range.,1,Neutral
R0065,Returned immediately. Everything about this is just dreadful.,0,Negative
R0066,Expected so much more. The quality is terrible and service is even worse.,0,Negative
R0067,The excellent quality really impressed me. Would buy again without hesitation.,2,Positive
R0068,Completely atrocious from the packaging to the product itself. Avoid.,0,Negative
R0069,outstanding product with exceptional support team. Could not ask for more.,2,Positive
R0070,The excellent quality really impressed me. Would buy again without hesitation.,2,Positive
