sale_id,store,product_cat,units,unit_price,revenue,channel,satisfaction,date
S0001,East,Groceries,8,293.53,2348.24,In-store,4.5,2024-06-04 00:00:00
S0002,East,Apparel,7,38.95,272.65,Online,6.9,2024-06-25 00:00:00
S0003,East,Groceries,11,351.56,3867.16,Online,9.7,2024-12-01 00:00:00
S0004,North,Furniture,5,153.77,768.85,Online,9.1,2024-04-05 00:00:00
S0005,North,Electronics,8,211.13,1689.04,In-store,8.6,2024-03-26 00:00:00
S0006,East,Groceries,10,535.23,5352.3,In-store,4.8,2024-12-20 00:00:00
S0007,East,Cosmetics,4,320.82,1283.28,Online,7.1,2024-05-15 00:00:00
S0008,North,Cosmetics,7,144.33,1010.31,In-store,7.1,2024-09-04 00:00:00
S0009,East,Cosmetics,8,543.75,4350.0,Online,6.7,2024-10-03 00:00:00
S0010,North,Electronics,10,518.41,5184.1,In-store,6.5,2024-10-15 00:00:00
S0011,South,Apparel,8,400.85,3206.8,In-store,6.2,2024-12-12 00:00:00
S0012,South,Groceries,2,112.41,224.82,Online,7.5,2024-12-15 00:00:00
S0013,South,Groceries,12,559.24,6710.88,In-store,6.7,2024-03-14 00:00:00
S0014,South,Electronics,1,131.95,131.95,In-store,4.1,2024-12-03 00:00:00
S0015,East,Furniture,6,208.08,1248.48,Online,5.3,2024-06-24 00:00:00
S0016,North,Apparel,7,154.69,1082.83,In-store,5.8,2024-09-09 00:00:00
S0017,South,Furniture,7,203.56,1424.92,In-store,9.8,2024-12-01 00:00:00
S0018,South,Electronics,8,476.21,3809.68,In-store,8.1,2024-03-06 00:00:00
S0019,North,Groceries,10,583.79,5837.9,In-store,8.2,2024-07-26 00:00:00
S0020,South,Apparel,9,346.56,3119.04,Online,3.5,2024-04-07 00:00:00
S0021,East,Groceries,8,367.17,2937.36,In-store,7.5,2024-11-16 00:00:00
S0022,East,Groceries,11,419.36,4612.96,Online,3.8,2024-11-20 00:00:00
S0023,North,Groceries,8,377.04,3016.32,Online,9.1,2024-08-03 00:00:00
S0024,East,Groceries,2,548.88,1097.76,In-store,9.2,2024-03-12 00:00:00
S0025,South,Apparel,5,339.45,1697.25,Online,6.2,2024-06-12 00:00:00
S0026,East,Furniture,1,261.25,261.25,Online,6.7,2024-09-24 00:00:00
S0027,South,Furniture,1,495.73,495.73,In-store,6.4,2024-01-08 00:00:00
S0028,East,Electronics,11,235.35,2588.85,In-store,8.5,2024-10-07 00:00:00
S0029,South,Electronics,2,54.34,108.68,Online,7.6,2024-08-06 00:00:00
S0030,East,Groceries,1,10.55,10.55,Online,4.9,2024-03-03 00:00:00
S0031,South,Furniture,3,286.04,858.12,Online,6.4,2024-04-05 00:00:00
S0032,East,Electronics,1,222.69,222.69,Online,5.4,2024-10-12 00:00:00
S0033,East,Apparel,12,301.37,3616.44,Online,8.2,2024-01-06 00:00:00
S0034,East,Furniture,1,13.76,13.76,Online,6.0,2024-06-08 00:00:00
S0035,South,Furniture,12,362.07,4344.84,Online,5.6,2024-10-21 00:00:00
S0036,East,Electronics,12,266.04,3192.48,Online,9.8,2024-02-29 00:00:00
S0037,North,Cosmetics,6,572.57,3435.42,In-store,6.0,2024-08-19 00:00:00
S0038,East,Apparel,5,471.85,2359.25,In-store,5.3,2024-11-14 00:00:00
S0039,East,Apparel,11,423.44,4657.84,Online,8.9,2024-11-03 00:00:00
S0040,North,Cosmetics,5,352.88,1764.4,In-store,8.0,2024-11-04 00:00:00
S0041,South,Groceries,4,485.45,1941.8,In-store,5.2,2024-08-04 00:00:00
S0042,North,Apparel,3,354.05,1062.15,Online,8.8,2024-10-19 00:00:00
S0043,East,Cosmetics,3,167.94,503.82,In-store,7.0,2024-10-03 00:00:00
